type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Sigmund Münz;117179027;;;Münz, Sigmund;http://lobid.org/gnd/search?q=Sigmund+Münz;;1859;1934
persName;Adolf Nast-Kolb;138674949;http://d-nb.info/gnd/138674949;;Nast-Kolb, Adolf;http://lobid.org/gnd/search?q=Adolf+Nast-Kolb;;1839;1921
persName;Julius Naue;116898712;http://d-nb.info/gnd/116898712;;Naue, Julius;http://lobid.org/gnd/search?q=Julius+Naue;;1833;1907
persName;Auguste Nefftzer ;1243600527;;;Nefftzer, Auguste ;;;1820;1876
persName;Augusto Nomis Di Cossilla;116686170;;;Nomis Di Cossilla, Augusto;;;1815;1881
persName;Caroline Notter;117067709;117067709;;Notter, Caroline;http://lobid.org/gnd/search?q=Caroline+Notter;;1821;1906
persName;Eugen Oberhummer;117076376;;;Oberhummer, Eugen;;;1859;1944
persName;Nicola d’Orgemont;;;;d’Orgemont, Nicola;;;1826;1896
persName;Aimé de Palézieux-Falconnet;116018445;;;Palézieux-Falconnet, Aimé de ;;;1843;1907
persName;Albrecht Pancritius;101682239;101682239;;Pancritius, Albrecht;http://lobid.org/gnd/search?q=Albrecht+Pancritius;;1818;1862
persName;Enrico de Paoli;;;;de Paoli, Enrico;;;1835;1907
persName;Gustav Parthey;104366508;http://d-nb.info/gnd/104366508;;Parthey, Gustav;http://lobid.org/gnd/search?q=Gustav+Parthey;;1798;1872
persName;Rosa Peetz;116072229;http://d-nb.info/gnd/116072229;;Peetz, Rosa;http://lobid.org/gnd/search?q=Rosa+Peetz;;1830;1910
persName;Francesco Paolo Perez;119279649;;;Perez, Francesco Paolo;;;1812;1892
persName;Paolo Perez;1025796071;;;Perez, Paolo;;;1822;1879
persName;Luigi Pianciani;119146673;;;Pianciani, Luigi;;;1810;1890
persName;Julius Pianka;12120944X;;;Pianka, Julius;;;1818;1892
persName;Leopold Pianka;;;;Pianka, Leopold ;;;1820;1870
persName;Bertha von Piloty;116185880;;;Piloty, Bertha von;;;1838;1918
persName;Carl Theodor von Piloty;118641662;http://d-nb.info/gnd/118641662;;Piloty, Karl von;http://lobid.org/gnd/search?q=Carl+Theodor+von+Piloty;;1826;1886
persName;Anton Graf Prokesch von Osten;118596713;http://d-nb.info/gnd/118596713;;Prokesch von Osten, Anton Graf;http://lobid.org/gnd/search?q=Anton+Graf+Prokesch+von+Osten;;1795;1876
persName;Francesco Protonotari;119428555;http://d-nb.info/gnd/119428555;;Protonotari, Francesco;http://lobid.org/gnd/search?q=Francesco+Protonotari;;1836;1888
persName;Adolf Prowe;128686375;;;Prowe, Adolf;;;1829;1915
persName;Hans Prutz;116305991;;;Prutz, Hans;;;1843;1929
persName;Robert Eduard Prutz;11859687X;http://d-nb.info/gnd/11859687X;;Prutz, Robert Eduard;http://lobid.org/gnd/search?q=Robert+Eduard+Prutz;;1816;1872
persName;Noémi Psichari-Renan;116333057;http://d-nb.info/gnd/116333057;;Psichari-Renan, Noémi;http://lobid.org/gnd/search?q=Noémi+Psichari-Renan;;1862;1943
persName;Franz (Ferenc) von Pulszky;11892575X;;;Pulszky, Franz (Ferenc) von;http://lobid.org/gnd/search?q=Franz+(Ferenc)+von+Pulszky;;1814;1897
persName;Ludwig Quidde;11874318X;http://d-nb.info/gnd/11874318X;;Quidde, Ludwig;http://lobid.org/gnd/search?q=Ludwig+Quidde;;1858;1941
persName;Marie Rehsener;12304832X;;;Rehsener, Marie;;;1839;1917
persName;Herman Riegel;116538201;;;Riegel, Herman;;;1834;1900
persName;Wilhelm Heinrich Riehl;118600850;;;Riehl, Wilhelm Heinrich;;;1823;1897
persName;Konrad Reichard;116397403;;;Reichard, Konrad;;;1841;1884
persName;Albert Freiherr von Reischach;116429178;;;Reischach, Albert Freiherr von;http://lobid.org/gnd/search?q=Albert+Freiherr+von+Reischach;;1826;1876
